7.706262208563949e-05,
0.009022157041167229,
0.017641023694211548,
0.025943177067731835,
0.033937862707651485,
0.041634065163181556,
0.049040515677054204,
0.05616569963087333,
0.0630178637540783,
0.06960502310465372,
0.07593496782944656,
0.08201526971166051,
0.08785328851279582,
0.09345617811607289,
0.09883089247807833,
0.10398419139516826,
0.10892264609088584,
0.1136526446304476,
0.1181803971681311,
0.1225119410331647,
0.12665314565954727,
0.13060971736499932,
0.13438720398408924,
0.13799099936036777,
0.14142634770219223,
0.14469834780674765,
0.1478119571566007,
0.15077199589298898,
0.1535831506698758,
0.1562499783926699,
0.15877690984537823,
0.1611682532098035,
0.16342819748029971,
0.16556081577744852,
0.1675700685639244,
0.1694598067656837,
0.17123377480151353,
0.17289561352387253,
0.17444886307383953,
0.17589696565290983,
0.17724326821426142,
0.17849102507604428,
0.1796434004591396,
0.18070347095176506,
0.18167422790321536,
0.18255857974894743,
0.1833593542691497,
0.1840793007828576,
0.18472109227961042,
0.18528732749057447,
0.1857805329009967,
0.18620316470578674,
0.18655761070996554,
0.18684619217566373,
0.18707116561729187,
0.1872347245464565,
0.1873390011681378,
0.18738606802959992,
0.18737793962345267,
0.18731657394624013,
0.1872038740138818,
0.18704168933525434,
0.18683181734515664,
0.1865760047978596,
0.18627594912240725,
0.1859332997407924,
0.18554965935010154,
0.18512658516967812,
0.1846655901543327,
0.18416814417458185,
0.18363567516487833,
0.1830695702407572,
0.18247117678579522,
0.18184180350925455,
0.18118272147525075,
0.18049516510426272,
0.17978033314777292,
0.17903938963680427,
0.17827346480509582,
0.177483655987634,
0.17667102849523958,
0.17583661646588053,
0.17498142369336972,
0.17410642443407962,
0.17321256419228756,
0.172300760484752,
0.1713719035850926,
0.17042685724853998,
0.16946645941759458,
0.16849152290912492,
0.16750283608341604,
0.16650116349566274,
0.16548724653039285,
0.16446180401928318,
0.16342553284282607,
0.16237910851628157,
0.16132318576034765,
0.16025839905695927,
0.15918536319061707,
0.15810467377564358,
0.15701690776973648,
0.15592262397419523,
0.15482236352117315,
0.15371665034830514,
0.15260599166104832,
0.1514908783830593,
0.15037178559493275,
0.14924917296160314,
0.14812348514871634,
0.14699515222825754,
0.14586459007372282,
0.14473220074510768,
0.14359837286398033,
0.14246348197890213,
0.14132789092144343,
0.14019195015304695,
0.1390559981029708,
0.1379203614975496,
