0.380926398308108,
0.3672992662637096,
1.0,
0.695053656105045,
0.5337415755139155,
0.31189269351536947,
0.36074926866938495,
0.23531679322203067,
0.5220198478234409,
0.396790295784989,
0.3988921451752529,
0.2623186906680346,
0.21622989813549043,
