440.168952942,
880.253791809,
1320.38068771,
1760.50758362,
2200.63447952,
2641.09783173,
3081.18267059,
3521.35162354,
3960.84766388,
4401.56335831,
4842.90990829,
5281.52275085,
5723.12164307,
6161.77654266,
6602.23989487,
7044.38552856,
7482.19928741,
